Pokemon,Score,Dex,Type 1,Type 2,Attack,Defense,Stamina,Stat Product,Level,CP,Fast Move,Charged Move 1,Charged Move 2,Charged Move 1 Count,Charged Move 2 Count,Buddy Distance,Charged Move Cost
Swalot,100,317,poison,none,,,,,28.5,,Mud Shot,Sludge,Ice Beam,5,7,1,10000
Golbat,98.6,42,poison,flying,,,,,28.5,,Wing Attack,Air Cutter,Shadow Ball,5,7,1,10000
Doublade,92.5,680,steel,ghost,,,,,22.5,,Shadow Claw,Sacred Sword,Gyro Ball,5,7,5,75000
Jumpluff,90,189,grass,flying,,,,,40.5,,Fairy Wind,Acrobatics,Aerial Ace,7,5,3,50000
Golbat (Shadow),88,42,poison,flying,,,,,28.5,,Wing Attack,Air Cutter,Shadow Ball,5,7,1,10000
Vespiquen,87.1,416,bug,flying,,,,,28,,Fury Cutter,X-Scissor,Power Gem,10,13,3,50000
Weezing (Galarian),86.4,110,poison,fairy,,,,,24.5,,Fairy Wind,Brutal Swing,Sludge,4,5,3,50000
Tropius,84.4,357,grass,flying,,,,,29,,Air Slash,Leaf Blade,Brutal Swing,4,4,5,75000
Dartrix,83.1,723,grass,flying,,,,,36.5,,Peck,Brave Bird,Seed Bomb,7,5,3,10000
Ledian,82.8,166,bug,flying,,,,,49.5,,Bug Bite,Aerial Ace,Dynamic Punch,15,15,1,10000
Ferrothorn,81.9,598,grass,steel,,,,,24.5,,Bullet Seed,Power Whip,Mirror Shot,4,3,3,75000
Amoonguss,81.5,591,grass,poison,,,,,26.5,,Astonish,Foul Play,Grass Knot,4,5,3,50000
Marowak (Alolan),81.5,105,fire,ghost,,,,,31.5,,Hex,Shadow Bone,Flame Wheel,4,4,3,50000
Annihilape,81,979,fighting,ghost,,,,,17,,Low Kick,Rage Fist,Close Combat,5,6,3,50000
Nidorina,81,30,poison,none,,,,,50,,Poison Sting,Poison Fang,Thunderbolt,5,7,3,50000
Muk,80.8,89,poison,none,,,,,20,,Acid,Thunder Punch,Dark Pulse,5,7,3,50000
Sealeo,80.8,364,ice,water,,,,,36,,Powder Snow,Body Slam,Surf,5,6,3,50000
Grimer,80.1,88,poison,none,,,,,50,,Acid,Sludge,Mud Bomb,5,6,3,50000
Dustox,79.2,269,bug,poison,,,,,50,,Confusion,Sludge Bomb,Silver Wind,4,4,1,10000
Venomoth,79,49,bug,poison,,,,,27,,Psywave,Poison Fang,Silver Wind,10,12,3,50000
Escavalier,78.3,589,bug,steel,,,,,19,,Bug Bite,Drill Run,Megahorn,14,19,3,50000
Drifblim,78.1,426,ghost,flying,,,,,23.5,,Hex,Shadow Ball,Mystical Fire,4,4,5,75000
Pelipper,78.1,279,water,flying,,,,,26,,Wing Attack,Weather Ball (Water),Hurricane,5,8,3,50000
Jumpluff (Shadow),77.9,189,grass,flying,,,,,40.5,,Fairy Wind,Acrobatics,Aerial Ace,7,5,3,50000
Skuntank,77.9,435,poison,dark,,,,,23.5,,Poison Jab,Crunch,Trailblaze,7,7,3,50000
Escavalier (Shadow),77.4,589,bug,steel,,,,,19,,Bug Bite,Drill Run,Megahorn,14,19,3,50000
Skeledirge,77,911,fire,ghost,,,,,18.5,,Incinerate,Blast Burn,Torch Song,3,3,3,10000
Crobat,76.8,169,poison,flying,,,,,21,,Air Slash,Air Cutter,Cross Poison,4,4,1,10000
Ledian (Shadow),76.8,166,bug,flying,,,,,49.5,,Bug Bite,Aerial Ace,Dynamic Punch,15,15,1,10000
Ferrothorn (Shadow),76.1,598,grass,steel,,,,,24.5,,Bullet Seed,Power Whip,Mirror Shot,4,3,3,75000
Durant,75.9,632,bug,steel,,,,,21,,Bug Bite,X-Scissor,Stone Edge,14,19,3,50000
Slowbro (Galarian),75.6,80,poison,psychic,,,,,22.5,,Confusion,Brutal Swing,Sludge Bomb,3,4,3,50000
Weezing (Galarian) (Shadow),75.2,110,poison,fairy,,,,,24.5,,Fairy Wind,Brutal Swing,Sludge,4,5,3,50000
Ariados,75,168,bug,poison,,,,,33.5,,Poison Sting,Cross Poison,Trailblaze,4,5,1,10000
Honedge,75,679,steel,ghost,,,,,47,,Fury Cutter,Gyro Ball,Iron Head,13,13,5,75000
Abomasnow,74.3,460,grass,ice,,,,,23.5,,Powder Snow,Weather Ball (Ice),Energy Ball,5,6,3,50000
Nidorina (Shadow),73.6,30,poison,none,,,,,50,,Poison Sting,Poison Fang,Thunderbolt,5,7,3,50000
Stunky (Shadow),72.9,434,poison,dark,,,,,50,,Bite,Crunch,Trailblaze,23,23,3,50000
Gourgeist (Super),72.7,711,ghost,grass,,,,,21,,Incinerate,Shadow Ball,Foul Play,3,2,5,75000
Grimer (Alolan),72.7,88,poison,dark,,,,,49,,Poison Jab,Crunch,Sludge Bomb,7,8,3,50000
Stunky,72.5,434,poison,dark,,,,,50,,Bite,Crunch,Trailblaze,23,23,3,50000
Slowking (Galarian),72.2,199,poison,psychic,,,,,20.5,,Confusion,Psyshock,Shadow Ball,3,4,3,50000
Servine,72,496,grass,none,,,,,50,,Vine Whip,Grass Knot,Wrap,7,6,3,10000
Gourgeist (Large),71.8,711,ghost,grass,,,,,22,,Incinerate,Shadow Ball,Foul Play,3,2,5,75000
Orbeetle,71.6,826,bug,psychic,,,,,25.5,,Confusion,Psyshock,Bug Buzz,3,5,1,10000
Crobat (Shadow),71.1,169,poison,flying,,,,,21,,Air Slash,Air Cutter,Cross Poison,4,4,1,10000
Dewgong,71.1,87,water,ice,,,,,28.5,,Ice Shard,Icy Wind,Aqua Jet,5,4,3,50000
Lumineon,71.1,457,water,none,,,,,32.5,,Waterfall,Weather Ball (Water),Silver Wind,4,5,3,50000
Sealeo (Shadow),71.1,364,ice,water,,,,,36,,Powder Snow,Body Slam,Surf,5,6,3,50000
Tentacruel,71.1,73,water,poison,,,,,23,,Acid,Scald,Payback,7,8,3,50000
Amoonguss (Shadow),70.9,591,grass,poison,,,,,26.5,,Astonish,Foul Play,Grass Knot,4,5,3,50000
Gourgeist (Average),70.2,711,ghost,grass,,,,,23.5,,Incinerate,Shadow Ball,Foul Play,3,2,5,75000
Muk (Alolan),70,89,poison,dark,,,,,20,,Poison Jab,Dark Pulse,Sludge Wave,8,10,3,50000
Revavroom,70,966,steel,poison,,,,,19,,Poison Jab,Gyro Ball,Overheat,8,8,3,50000
Annihilape (Shadow),69.8,979,fighting,ghost,,,,,17,,Low Kick,Rage Fist,Close Combat,5,6,3,50000
Runerigus,69.5,867,ground,ghost,,,,,24.5,,Shadow Claw,Shadow Ball,Brutal Swing,7,5,3,50000
Gourgeist (Small),68.9,711,ghost,grass,,,,,25,,Incinerate,Shadow Ball,Foul Play,3,2,5,75000
Vivillon,68.9,666,bug,flying,,,,,30,,Gust,Aerial Ace,Bug Buzz,4,5,1,10000
Marowak (Alolan) (Shadow),68.6,105,fire,ghost,,,,,31.5,,Hex,Shadow Bone,Flame Wheel,4,4,3,50000
Nidoqueen,68.4,31,poison,ground,,,,,22.5,,Poison Sting,Stone Edge,Poison Fang,7,5,3,50000
Lokix,68.2,920,bug,dark,,,,,24,,Sucker Punch,X-Scissor,Dark Pulse,6,8,1,50000
Pumpkaboo (Super),68.2,710,ghost,grass,,,,,50,,Astonish,Foul Play,Grass Knot,4,5,5,75000
Skuntank (Shadow),68.2,435,poison,dark,,,,,23.5,,Poison Jab,Crunch,Trailblaze,7,7,3,50000
Grafaiai,67.7,945,poison,normal,,,,,24.5,,Poison Jab,Poison Fang,Sludge Bomb,6,8,3,50000
Milotic,67.7,350,water,none,,,,,18.5,,Dragon Tail,Aqua Tail,Wrap,3,4,5,75000
Salazzle,67.7,758,poison,fire,,,,,22.5,,Incinerate,Poison Fang,Dragon Pulse,2,3,3,50000
Swadloon,67.5,541,bug,grass,,,,,50,,Bug Bite,Energy Ball,Silver Wind,15,15,1,10000
Drifblim (Shadow),67.3,426,ghost,flying,,,,,23.5,,Hex,Shadow Ball,Mystical Fire,4,4,5,75000
Chandelure (Shadow),67.1,609,ghost,fire,,,,,17,,Incinerate,Shadow Ball,Flame Charge,3,3,5,75000
Beedrill,66.8,15,bug,poison,,,,,30.5,,Poison Sting,X-Scissor,Drill Run,5,5,1,10000
Ceruledge,66.6,937,fire,ghost,,,,,17.5,,Incinerate,Shadow Ball,Heat Wave,3,3,5,50000
Gastrodon,66.6,423,water,ground,,,,,24,,Mud Slap,Body Slam,Earth Power,4,5,3,50000
Seaking,66.6,119,water,none,,,,,26,,Peck,Drill Run,Icy Wind,5,6,3,50000
Quagsire,66.4,195,water,ground,,,,,28.5,,Mud Shot,Aqua Tail,Stone Edge,4,7,3,50000
Cofagrigus,66.2,563,ghost,none,,,,,24.5,,Shadow Claw,Shadow Ball,Dark Pulse,7,7,3,50000
Drifloon,66.2,425,ghost,flying,,,,,50,,Hex,Shadow Ball,Icy Wind,4,4,5,75000
Gholdengo,65.9,1000,steel,ghost,,,,,15.5,,Hex,Shadow Ball,Power Gem,4,4,5,10000
Muk (Shadow),65.7,89,poison,none,,,,,20,,Poison Jab,Thunder Punch,Dark Pulse,6,8,3,50000
Venomoth (Shadow),65.7,49,bug,poison,,,,,27,,Psywave,Poison Fang,Silver Wind,10,12,3,50000
Centiskorch,65.5,851,fire,bug,,,,,18.5,,Ember,Heat Wave,Lunge,5,5,5,75000
Azumarill,65.3,184,water,fairy,,,,,43,,Bubble,Ice Beam,Play Rough,5,6,3,50000
Carracosta (Shadow),65.3,565,water,rock,,,,,21.5,,Rock Throw,Ancient Power,Body Slam,9,7,5,75000
Koffing,65,109,poison,none,,,,,50,,Acid,Sludge,Dark Pulse,5,7,3,50000
Shiinotic,64.8,756,grass,fairy,,,,,31,,Astonish,Seed Bomb,Moonblast,4,6,3,50000
Golisopod,64.6,768,bug,water,,,,,17.5,,Fury Cutter,X-Scissor,Aqua Jet,10,10,1,10000
Bellossom,64.4,182,grass,none,,,,,24.5,,Acid,Leaf Blade,Dazzling Gleam,5,7,3,50000
Grimer (Alolan) (Shadow),64.4,88,poison,dark,,,,,49,,Poison Jab,Crunch,Sludge Bomb,7,8,3,50000
Misdreavus (Shadow),64.4,200,ghost,none,,,,,29,,Astonish,Shadow Sneak,Dark Pulse,5,5,3,50000
Pumpkaboo (Large),64.4,710,ghost,grass,,,,,50,,Astonish,Foul Play,Grass Knot,4,5,5,75000
Abomasnow (Shadow),64.1,460,grass,ice,,,,,23.5,,Powder Snow,Weather Ball (Ice),Energy Ball,5,6,3,50000
Decidueye,63.7,724,grass,ghost,,,,,20,,Astonish,Frenzy Plant,Brave Bird,5,6,3,10000
Weezing,63.7,110,poison,none,,,,,25,,Rollout,Shadow Ball,Sludge Bomb,4,4,3,50000
Glimmora,63.5,970,rock,poison,,,,,17,,Rock Throw,Rock Slide,Sludge Wave,9,13,3,50000
Servine (Shadow),63.5,496,grass,none,,,,,50,,Vine Whip,Grass Knot,Wrap,7,6,3,10000
Carracosta,63.2,565,water,rock,,,,,21.5,,Rock Throw,Ancient Power,Body Slam,9,7,5,75000
Muk (Alolan) (Shadow),63.2,89,poison,dark,,,,,20,,Poison Jab,Dark Pulse,Sludge Wave,8,10,3,50000
Wormadam (Plant),62.8,413,bug,grass,,,,,34.5,,Sucker Punch,Energy Ball,Bug Buzz,7,9,1,10000
Cacturne (Shadow),62.3,332,grass,dark,,,,,24,,Sucker Punch,Dark Pulse,Trailblaze,8,7,3,50000
Lileep,61.7,345,rock,grass,,,,,50,,Acid,Ancient Power,Grass Knot,6,7,3,50000
Pineco,61.7,204,bug,none,,,,,50,,Bug Bite,Rock Tomb,Sand Tomb,17,14,5,75000
Alomomola,61.4,594,water,none,,,,,26,,Waterfall,Psychic,Blizzard,6,8,5,75000
Houndstone,61.4,972,ghost,none,,,,,22,,Lick,Shadow Ball,Psychic Fangs,17,12,3,50000
Misdreavus,61.4,200,ghost,none,,,,,29,,Astonish,Shadow Sneak,Dark Pulse,5,5,3,50000
Chandelure,61.2,609,ghost,fire,,,,,17,,Incinerate,Shadow Ball,Flame Charge,3,3,5,75000
Glimmet,61.2,969,rock,poison,,,,,36.5,,Rock Throw,Rock Slide,Sludge Wave,9,13,3,50000
Dondozo,61,977,water,none,,,,,18.5,,Waterfall,Liquidation,Outrage,5,6,5,75000
Oricorio (Sensu),61,741,ghost,flying,,,,,24,,Air Slash,Air Cutter,Aerial Ace,4,5,3,75000
Toedscruel,61,949,ground,grass,,,,,23,,Mud Slap,Seed Bomb,Earth Power,4,5,3,50000
Whiscash,61,340,water,ground,,,,,27,,Mud Shot,Mud Bomb,Scald,5,6,1,10000
Tentacruel (Shadow),60.8,73,water,poison,,,,,23,,Acid,Scald,Payback,7,8,3,50000
Appletun,60.5,842,grass,dragon,,,,,23,,Astonish,Seed Bomb,Outrage,4,6,5,75000
Grimer (Shadow),60.5,88,poison,none,,,,,49,,Poison Jab,Sludge,Mud Bomb,6,7,3,50000
Qwilfish,60.5,211,water,poison,,,,,27,,Poison Sting,Aqua Tail,Ice Beam,4,7,3,50000
Blastoise,60.3,9,water,none,,,,,23,,Rollout,Hydro Cannon,Ice Beam,4,5,3,10000
Palossand,60.3,770,ghost,ground,,,,,23,,Astonish,Shadow Ball,Scorching Sands,5,5,3,50000
Quagsire (Shadow),60.1,195,water,ground,,,,,28.5,,Mud Shot,Aqua Tail,Stone Edge,4,7,3,50000
Pumpkaboo (Average),59.6,710,ghost,grass,,,,,50,,Astonish,Foul Play,Grass Knot,4,5,5,75000
Victreebel,59.6,71,grass,poison,,,,,23,,Acid,Leaf Blade,Sludge Bomb,5,7,3,50000
Wailmer,59.6,320,water,none,,,,,48.5,,Rollout,Body Slam,Scald,3,4,1,10000
Wormadam (Sandy),59.6,413,bug,ground,,,,,34.5,,Sucker Punch,Bug Buzz,Bulldoze,9,7,1,10000
Kricketune,59.4,402,bug,none,,,,,38,,Fury Cutter,X-Scissor,Aerial Ace,10,12,1,10000
Mothim,59.4,414,bug,flying,,,,,31.5,,Bug Bite,Aerial Ace,Bug Buzz,15,20,1,10000
Relicanth,59.4,369,water,rock,,,,,22.5,,Water Gun,Ancient Power,Aqua Tail,15,12,5,75000
Cacturne,59.2,332,grass,dark,,,,,24,,Sucker Punch,Trailblaze,Dark Pulse,7,8,3,50000
Frillish,59.2,592,water,ghost,,,,,50,,Hex,Night Shade,Ice Beam,4,5,3,50000
