Pokemon,Score,Dex,Type 1,Type 2,Attack,Defense,Stamina,Stat Product,Level,CP,Fast Move,Charged Move 1,Charged Move 2,Charged Move 1 Count,Charged Move 2 Count,Buddy Distance,Charged Move Cost
Dusknoir (Shadow),100,477,ghost,none,,,,,23.5,,Astonish,Dynamic Punch,Shadow Punch,5,4,3,50000
Toucannon (Shadow),98.9,733,normal,flying,,,,,20.5,,Peck,Beak Blast,Drill Peck,7,5,1,10000
Primeape,98,57,fighting,none,,,,,24,,Karate Chop,Rage Fist,Close Combat,4,5,3,50000
Hydreigon (Shadow),97.6,635,dark,dragon,,,,,15,,Dragon Breath,Brutal Swing,Fly,9,12,5,75000
Primeape (Shadow),97.4,57,fighting,none,,,,,24,,Karate Chop,Rage Fist,Ice Punch,4,5,3,50000
Shelgon (Shadow),97.4,372,dragon,none,,,,,27.5,,Dragon Breath,Twister,Flamethrower,10,14,5,75000
Feraligatr (Shadow),97.1,160,water,none,,,,,19.5,,Shadow Claw,Hydro Cannon,Ice Beam,5,7,3,10000
Grumpig (Shadow),97.1,326,psychic,none,,,,,23.5,,Psywave,Dynamic Punch,Shadow Ball,12,13,1,10000
Crustle (Shadow),97,558,bug,rock,,,,,22,,Fury Cutter,X-Scissor,Rock Wrecker,10,13,1,10000
Flamigo,97,973,flying,fighting,,,,,20,,Wing Attack,Upper Hand,Brave Bird,5,7,3,75000
Palkia (Shadow),96.8,484,water,dragon,,,,,13.5,,Dragon Breath,Aqua Tail,Draco Meteor,9,17,20,100000
Samurott (Shadow),96.7,503,water,none,,,,,19.5,,Fury Cutter,Hydro Cannon,Megahorn,10,14,3,10000
Rapidash (Shadow),96.6,78,fire,none,,,,,22.5,,Incinerate,Drill Run,Wild Charge,2,3,3,50000
Ursaring (Shadow),96.6,217,normal,none,,,,,18.5,,Shadow Claw,Close Combat,Swift,6,5,3,50000
Greninja (Shadow),96.6,658,water,dark,,,,,21,,Water Shuriken,Hydro Cannon,Night Slash,3,3,3,10000
Qwilfish (Shadow),96.5,211,water,poison,,,,,27,,Poison Sting,Aqua Tail,Shadow Ball,4,6,3,50000
Roserade,96.3,407,grass,poison,,,,,18.5,,Poison Sting,Weather Ball (Fire),Leaf Storm,4,7,3,50000
Malamar (Shadow),96.2,687,dark,psychic,,,,,23.5,,Psywave,Foul Play,Superpower,10,10,3,50000
Corviknight,96.2,823,flying,steel,,,,,23,,Sand Attack,Air Cutter,Payback,9,15,1,10000
Walrein (Shadow),96.1,365,ice,water,,,,,20.5,,Powder Snow,Icicle Spear,Earthquake,5,9,3,50000
Murkrow (Shadow),96,198,dark,flying,,,,,41,,Peck,Drill Peck,Foul Play,5,5,3,50000
Dragonair (Shadow),96,148,dragon,none,,,,,33,,Dragon Breath,Wrap,Aqua Tail,12,9,5,75000
Latias (Shadow),96,380,dragon,psychic,,,,,15.5,,Dragon Breath,Aura Sphere,Mist Ball,10,15,20,100000
Dodrio,96,85,normal,flying,,,,,23.5,,Peck,Drill Peck,Brave Bird,5,7,3,50000
Kingdra (Shadow),96,230,water,dragon,,,,,21,,Dragon Breath,Surf,Swift,12,9,3,50000
Empoleon (Shadow),95.9,395,water,steel,,,,,19,,Metal Sound,Hydro Cannon,Drill Peck,5,5,3,10000
Lapras (Shadow),95.9,131,water,ice,,,,,21.5,,Psywave,Sparkling Aria,Ice Beam,12,14,5,75000
Blaziken (Shadow),95.8,257,fire,fighting,,,,,19.5,,Ember,Aura Sphere,Blast Burn,5,6,3,10000
Sealeo (Shadow),95.8,364,ice,water,,,,,36,,Powder Snow,Surf,Body Slam,6,5,3,50000
Gallade (Shadow),95.8,475,psychic,fighting,,,,,18,,Psycho Cut,Close Combat,Leaf Blade,5,4,5,75000
Toucannon,95.7,733,normal,flying,,,,,20.5,,Peck,Beak Blast,Drill Peck,7,5,1,10000
Grumpig,95.7,326,psychic,none,,,,,23.5,,Psywave,Dynamic Punch,Shadow Ball,12,13,1,10000
Hippowdon (Shadow),95.6,450,ground,none,,,,,18,,Sand Attack,Weather Ball (Rock),Earth Power,9,13,3,50000
Aurorus (Shadow),95.6,699,rock,ice,,,,,20,,Powder Snow,Weather Ball (Ice),Meteor Beam,5,8,5,75000
Kingdra,95.6,230,water,dragon,,,,,21,,Dragon Breath,Surf,Swift,12,9,3,50000
Sableye (Shadow),95.6,302,dark,ghost,,,,,47,,Shadow Claw,Foul Play,Drain Punch,5,5,5,75000
Regidrago,95.4,895,dragon,none,,,,,20,,Dragon Breath,Dragon Energy,Vise Grip,12,10,20,100000
Electivire (Shadow),95.3,466,electric,none,,,,,18,,Thunder Shock,Ice Punch,Wild Charge,5,5,5,75000
