Pokemon,Score,Dex,Type 1,Type 2,Attack,Defense,Stamina,Stat Product,Level,CP,Fast Move,Charged Move 1,Charged Move 2,Charged Move 1 Count,Charged Move 2 Count,Buddy Distance,Charged Move Cost
Toucannon (Shadow),100,733,normal,flying,,,,,20.5,,Peck,Beak Blast,Drill Peck,7,5,1,10000
Dodrio,99.1,85,normal,flying,,,,,23.5,,Peck,Drill Peck,Brave Bird,5,7,3,50000
Grumpig (Shadow),99,326,psychic,none,,,,,23.5,,Psywave,Dynamic Punch,Shadow Ball,12,13,1,10000
Kabutops (Shadow),97.7,141,rock,water,,,,,20.5,,Fury Cutter,Stone Edge,Aqua Jet,14,10,5,75000
Pidgeot (Shadow),97.5,18,normal,flying,,,,,26.5,,Wing Attack,Brave Bird,Twister,7,5,1,10000
Miltank,95.4,241,normal,none,,,,,24,,Rollout,Body Slam,Thunderbolt,3,5,5,75000
Qwilfish (Shadow),95,211,water,poison,,,,,27,,Poison Sting,Aqua Tail,Shadow Ball,4,6,3,50000
Staravia (Shadow),94.8,397,normal,flying,,,,,50,,Wing Attack,Brave Bird,Fly,7,6,1,10000
Pelipper,94.8,279,water,flying,,,,,26,,Wing Attack,Weather Ball (Water),Hurricane,5,8,3,50000
Toucannon,94.8,733,normal,flying,,,,,20.5,,Peck,Beak Blast,Drill Peck,7,5,1,10000
Weezing (Galarian) (Shadow),94.7,110,poison,fairy,,,,,24.5,,Fairy Wind,Sludge,Brutal Swing,5,4,3,50000
Grumpig,94.6,326,psychic,none,,,,,23.5,,Psywave,Dynamic Punch,Shadow Ball,12,13,1,10000
Blastoise,94.5,9,water,none,,,,,23,,Rollout,Hydro Cannon,Skull Bash,4,6,3,10000
Staraptor (Shadow),94.3,398,normal,flying,,,,,19.5,,Wing Attack,Fly,Close Combat,6,6,1,10000
Raichu (Alolan),94.1,26,electric,psychic,,,,,24,,Thunder Shock,Wild Charge,Trailblaze,5,5,1,10000
Ursaring (Shadow),93.9,217,normal,none,,,,,18.5,,Shadow Claw,Swift,Close Combat,5,6,3,50000
Samurott (Shadow),93.9,503,water,none,,,,,19.5,,Fury Cutter,Hydro Cannon,Megahorn,10,14,3,10000
Swampert (Shadow),93.9,260,water,ground,,,,,18.5,,Mud Shot,Hydro Cannon,Earthquake,5,8,3,10000
Slowking (Galarian),93.8,199,poison,psychic,,,,,20.5,,Acid,Psyshock,Shadow Ball,5,7,3,50000
Rufflet,93.5,627,normal,flying,,,,,46.5,,Peck,Brave Bird,Fly,7,6,5,75000
Latias (Shadow),93.2,380,dragon,psychic,,,,,15.5,,Dragon Breath,Aura Sphere,Mist Ball,10,15,20,100000
Milotic (Shadow),93.2,350,water,none,,,,,18.5,,Waterfall,Aqua Tail,Wrap,4,5,5,75000
Hypno,93,97,psychic,none,,,,,27,,Confusion,Shadow Ball,Thunder Punch,4,3,3,50000
Barbaracle,92.9,689,rock,water,,,,,20.5,,Fury Cutter,Cross Chop,Stone Edge,9,14,3,50000
Kingdra (Shadow),92.9,230,water,dragon,,,,,21,,Dragon Breath,Swift,Surf,9,12,3,50000
Ninetales (Alolan) (Shadow),92.9,38,ice,fairy,,,,,24,,Powder Snow,Weather Ball (Ice),Dazzling Gleam,5,7,3,50000
Kingdra,92.8,230,water,dragon,,,,,21,,Dragon Breath,Swift,Surf,9,12,3,50000
Gallade (Shadow),92.7,475,psychic,fighting,,,,,18,,Psycho Cut,Close Combat,Leaf Blade,5,4,5,75000
Pidgeot,92.6,18,normal,flying,,,,,26.5,,Wing Attack,Twister,Brave Bird,5,7,1,10000
Walrein (Shadow),92.6,365,ice,water,,,,,20.5,,Powder Snow,Icicle Spear,Earthquake,5,9,3,50000
Bruxish,92.4,779,water,psychic,,,,,23,,Confusion,Psychic Fangs,Crunch,3,4,3,50000
Girafarig (Shadow),92.4,203,normal,psychic,,,,,27.5,,Confusion,Psychic Fangs,Trailblaze,3,4,3,50000
Trumbeak (Shadow),92.4,732,normal,flying,,,,,46,,Peck,Drill Peck,Rock Blast,5,5,1,10000
Munchlax,92.1,446,normal,none,,,,,30,,Tackle,Body Slam,Bulldoze,12,15,5,10000
Kabutops,92,141,rock,water,,,,,20.5,,Fury Cutter,Stone Edge,Aqua Jet,14,10,5,75000
Starmie (Shadow),91.8,121,water,psychic,,,,,21.5,,Psywave,Aqua Jet,Power Gem,10,13,3,50000
Drampa,91.7,780,normal,dragon,,,,,19,,Dragon Breath,Swift,Dragon Pulse,9,14,5,75000
Blastoise (Shadow),91.6,9,water,none,,,,,23,,Rollout,Hydro Cannon,Skull Bash,4,6,3,10000
Swampert,91.3,260,water,ground,,,,,18.5,,Mud Shot,Hydro Cannon,Earthquake,5,8,3,10000
Weezing (Galarian),91.3,110,poison,fairy,,,,,24.5,,Fairy Wind,Sludge,Brutal Swing,5,4,3,50000
Staravia,91.2,397,normal,flying,,,,,50,,Wing Attack,Brave Bird,Fly,7,6,1,10000
Lunatone,91.1,337,rock,psychic,,,,,24,,Psywave,Weather Ball (Ice),Rock Slide,9,12,3,50000
Dewott,91,502,water,none,,,,,35,,Fury Cutter,Aqua Tail,X-Scissor,9,10,3,10000
Uxie,90.9,480,psychic,none,,,,,22,,Confusion,Swift,Thunder,3,5,20,100000
Palkia (Shadow),90.8,484,water,dragon,,,,,13.5,,Dragon Breath,Aqua Tail,Draco Meteor,9,17,20,100000
Linoone,90.8,264,normal,none,,,,,38.5,,Shadow Claw,Swift,Grass Knot,5,7,1,10000
Solrock,90.7,338,rock,psychic,,,,,24,,Psywave,Weather Ball (Fire),Rock Slide,9,12,3,50000
Dewott (Shadow),90.6,502,water,none,,,,,35,,Fury Cutter,Aqua Tail,X-Scissor,9,10,3,10000
Swanna (Shadow),90.2,581,water,flying,,,,,26.5,,Gust,Aqua Jet,Fly,3,4,3,50000
Swanna,90.1,581,water,flying,,,,,26.5,,Gust,Aqua Jet,Fly,3,4,3,50000
Seaking,89.9,119,water,none,,,,,26,,Peck,Drill Run,Megahorn,5,7,3,50000
Wailmer,89.8,320,water,none,,,,,48.5,,Rollout,Scald,Body Slam,4,3,1,10000
Latios (Shadow),89.8,381,dragon,psychic,,,,,14,,Dragon Breath,Aura Sphere,Dragon Claw,10,13,20,100000
Gyarados (Shadow),89.8,130,water,flying,,,,,16.5,,Dragon Breath,Aqua Tail,Crunch,9,12,1,10000
Politoed (Shadow),89.5,186,water,none,,,,,23,,Mud Shot,Weather Ball (Water),Earthquake,4,8,3,50000
Orbeetle,89.5,826,bug,psychic,,,,,25.5,,Psycho Cut,Psyshock,Bug Buzz,5,7,1,10000
Togetic,89.4,176,fairy,flying,,,,,36.5,,Fairy Wind,Psyshock,Dazzling Gleam,5,7,3,50000
Ninetales (Alolan),89.3,38,ice,fairy,,,,,24,,Powder Snow,Weather Ball (Ice),Dazzling Gleam,5,7,3,50000
Swoobat,89,528,psychic,flying,,,,,34.5,,Confusion,Fly,Psychic Fangs,4,3,1,10000
Tentacruel (Shadow),88.9,73,water,poison,,,,,23,,Acid,Scald,Payback,7,8,3,50000
Dudunsparce,88.8,982,normal,none,,,,,20.5,,Rollout,Body Slam,Drill Run,3,4,3,50000
Milotic,88.8,350,water,none,,,,,18.5,,Waterfall,Aqua Tail,Wrap,4,5,5,75000
Alakazam (Shadow),88.8,65,psychic,none,,,,,18,,Psycho Cut,Fire Punch,Shadow Ball,5,6,3,50000
Qwilfish,88.8,211,water,poison,,,,,27,,Poison Sting,Aqua Tail,Shadow Ball,4,6,3,50000
Gyarados,88.7,130,water,flying,,,,,16.5,,Dragon Breath,Aqua Tail,Crunch,9,12,1,10000
Swellow,88.6,277,normal,flying,,,,,29,,Wing Attack,Brave Bird,Aerial Ace,7,6,1,10000
Aromatisse,88.6,683,fairy,none,,,,,24,,Fairy Wind,Psyshock,Moonblast,5,7,3,50000
Articuno (Galarian),88.6,144,psychic,flying,,,,,15.5,,Psycho Cut,Fly,Brave Bird,5,7,20,100000
Rapidash (Galarian),88.5,78,psychic,fairy,,,,,22.5,,Fairy Wind,Body Slam,Wild Charge,4,5,3,50000
Sealeo (Shadow),88.5,364,ice,water,,,,,36,,Powder Snow,Surf,Body Slam,6,5,3,50000
Sylveon,88.5,700,fairy,none,,,,,18,,Fairy Wind,Psyshock,Shadow Ball,5,6,5,75000
Mew,88.4,151,psychic,none,,,,,16.5,,Shadow Claw,Wild Charge,Psyshock,6,5,20,100000
Lapras,88.4,131,water,ice,,,,,21.5,,Psywave,Sparkling Aria,Skull Bash,12,19,5,75000
Bewear (Shadow),88.3,760,normal,fighting,,,,,17.5,,Shadow Claw,Superpower,Stomp,5,5,1,10000
Xatu (Shadow),88.2,178,psychic,flying,,,,,25.5,,Peck,Psyshock,Aerial Ace,5,6,3,50000
Dondozo,88.2,977,water,none,,,,,18.5,,Waterfall,Surf,Outrage,5,6,5,75000
Castform,88,351,normal,none,,,,,39.5,,Hex,Weather Ball (Rock),Energy Ball,3,4,5,75000
Samurott,88,503,water,none,,,,,19.5,,Fury Cutter,Hydro Cannon,Megahorn,10,14,3,10000
Girafarig,87.6,203,normal,psychic,,,,,27.5,,Confusion,Psychic Fangs,Trailblaze,3,4,3,50000
Ursaring,87.5,217,normal,none,,,,,18.5,,Shadow Claw,Swift,Close Combat,5,6,3,50000
Sealeo,87.5,364,ice,water,,,,,36,,Powder Snow,Surf,Body Slam,6,5,3,50000
Walrein,87.4,365,ice,water,,,,,20.5,,Powder Snow,Icicle Spear,Earthquake,5,9,3,50000
Latias,87.4,380,dragon,psychic,,,,,16,,Dragon Breath,Aura Sphere,Mist Ball,10,15,20,100000
Feraligatr (Shadow),87.3,160,water,none,,,,,19.5,,Shadow Claw,Hydro Cannon,Crunch,5,6,3,10000
Snorlax (Shadow),87.3,143,normal,none,,,,,17.5,,Lick,Body Slam,Superpower,12,14,5,75000
Dachsbun,87.3,927,fairy,none,,,,,26.5,,Charm,Psychic Fangs,Play Rough,5,8,3,50000
Florges,87.2,671,fairy,none,,,,,17,,Fairy Wind,Disarming Voice,Trailblaze,5,5,3,50000
Slowbro (Galarian),87.1,80,poison,psychic,,,,,22.5,,Poison Jab,Brutal Swing,Sludge Bomb,5,8,3,50000
Lumineon,87,457,water,none,,,,,32.5,,Gust,Aqua Tail,Silver Wind,3,4,3,50000
Dewgong,87,87,water,ice,,,,,28.5,,Ice Shard,Icy Wind,Drill Run,5,4,3,50000
Kecleon,87,352,normal,none,,,,,27.5,,Sucker Punch,Thunder Punch,Dynamic Punch,6,7,5,75000
Latios,86.9,381,dragon,psychic,,,,,14.5,,Dragon Breath,Aura Sphere,Dragon Claw,10,13,20,100000
Mr. Mime,86.9,122,psychic,fairy,,,,,25,,Psywave,Shadow Ball,Psychic,13,14,5,75000
Spinda,86.7,327,normal,none,,,,,50,,Sucker Punch,Rock Tomb,Icy Wind,8,7,3,50000
Starmie,86.7,121,water,psychic,,,,,21.5,,Psywave,Aqua Jet,Power Gem,10,13,3,50000
Mantine,86.7,226,water,flying,,,,,27,,Wing Attack,Twister,Water Pulse,5,7,5,75000
Oinkologne (Female),86.5,916,normal,none,,,,,22.5,,Mud Slap,Body Slam,Trailblaze,4,5,1,10000
Marshtomp (Shadow),86.5,259,water,ground,,,,,33.5,,Mud Shot,Surf,Sludge,5,5,3,10000
Dunsparce,86.4,206,normal,none,,,,,37.5,,Rollout,Drill Run,Rock Slide,4,4,3,50000
Tentacruel,86.1,73,water,poison,,,,,23,,Acid,Scald,Payback,7,8,3,50000
Feraligatr,86.1,160,water,none,,,,,19.5,,Shadow Claw,Hydro Cannon,Crunch,5,6,3,10000
Zangoose,86,335,normal,none,,,,,23,,Fury Cutter,Close Combat,Night Slash,12,9,3,50000
Staraptor,86,398,normal,flying,,,,,19.5,,Wing Attack,Fly,Close Combat,6,6,1,10000
Espeon,85.9,196,psychic,none,,,,,17.5,,Confusion,Psychic Fangs,Shadow Ball,3,4,5,75000
Politoed,85.9,186,water,none,,,,,23,,Mud Shot,Weather Ball (Water),Earthquake,4,8,3,50000
Castform (Rainy),85.9,351,water,none,,,,,39.5,,Water Gun,Weather Ball (Water),Thunder,12,20,5,75000
Hatterene,85.7,858,psychic,fairy,,,,,19.5,,Psycho Cut,Psyshock,Power Whip,5,6,5,50000
Furfrou,85.5,676,normal,none,,,,,26.5,,Sucker Punch,Surf,Grass Knot,7,8,5,75000
Porygon2 (Shadow),85.4,233,normal,none,,,,,20.5,,Lock On,Tri Attack,Zap Cannon,10,16,3,50000
Gallade,85.4,475,psychic,fighting,,,,,18,,Psycho Cut,Close Combat,Leaf Blade,5,4,5,75000
Lapras (Shadow),85.3,131,water,ice,,,,,21.5,,Psywave,Sparkling Aria,Dragon Pulse,12,14,5,75000
Wailmer (Shadow),85.2,320,water,none,,,,,48.5,,Rollout,Scald,Body Slam,4,3,1,10000
Mewtwo (Shadow),85.2,150,psychic,none,,,,,13,,Psycho Cut,Psystrike,Thunderbolt,5,7,20,100000
Primarina,85.1,730,water,fairy,,,,,17,,Waterfall,Disarming Voice,Hydro Cannon,5,4,3,10000
Lopunny,85.1,428,normal,none,,,,,27.5,,Low Kick,Thunder Punch,Shadow Ball,5,7,3,50000
Dubwool,85.1,832,normal,none,,,,,25.5,,Double Kick,Body Slam,Payback,3,5,3,10000
Slowbro (Shadow),85,80,water,psychic,,,,,22,,Confusion,Drain Punch,Surf,3,4,3,50000
Quagsire (Shadow),84.9,195,water,ground,,,,,28.5,,Mud Shot,Aqua Tail,Mud Bomb,4,5,3,50000
Maushold,84.8,925,normal,none,,,,,28.5,,Mud Shot,Swift,Crunch,4,5,1,10000
Wyrdeer,84.8,899,normal,psychic,,,,,20,,Confusion,Stomp,Wild Charge,3,4,5,75000
Quagsire,84.7,195,water,ground,,,,,28.5,,Mud Shot,Aqua Tail,Mud Bomb,4,5,3,50000
Delphox (Shadow),84.7,655,fire,psychic,,,,,18,,Fire Spin,Psyshock,Blast Burn,4,5,3,10000
Fearow,84.7,22,normal,flying,,,,,28,,Peck,Drill Peck,Drill Run,5,5,1,10000
Oinkologne,84.6,916,normal,none,,,,,21.5,,Mud Slap,Body Slam,Trailblaze,4,5,1,10000
Slowbro,84.6,80,water,psychic,,,,,22,,Confusion,Drain Punch,Surf,3,4,3,50000
Wailord,84.5,321,water,none,,,,,24.5,,Rollout,Surf,Return,4,6,1,10000
Slurpuff,84.3,685,fairy,none,,,,,25.5,,Fairy Wind,Play Rough,Energy Ball,7,5,3,50000
Noctowl,84,164,normal,flying,,,,,28,,Wing Attack,Sky Attack,Shadow Ball,7,7,1,10000
Hypno (Shadow),83.8,97,psychic,none,,,,,27,,Confusion,Shadow Ball,Thunder Punch,4,3,3,50000
Chatot,83.5,441,normal,flying,,,,,32.5,,Peck,Sky Attack,Heat Wave,7,6,5,75000
Aipom (Shadow),83.4,190,normal,none,,,,,50,,Astonish,Swift,Aerial Ace,4,5,3,50000
Suicune (Shadow),83.3,245,water,none,,,,,18,,Ice Fang,Bubble Beam,Scald,7,9,20,100000
Chimecho,83,358,psychic,none,,,,,25,,Astonish,Psyshock,Shadow Ball,4,5,5,75000
Togekiss,83,468,fairy,flying,,,,,16.5,,Peck,Psyshock,Aura Sphere,5,5,3,50000
Alomomola,82.7,594,water,none,,,,,26,,Waterfall,Hydro Pump,Psychic,8,6,5,75000
Alakazam,82.6,65,psychic,none,,,,,18,,Psycho Cut,Fire Punch,Shadow Ball,5,6,3,50000
Meowstic (Male),82.5,678,psychic,none,,,,,26,,Sucker Punch,Energy Ball,Thunderbolt,7,8,3,50000
Vigoroth (Shadow),82.5,288,normal,none,,,,,28.5,,Counter,Body Slam,Rock Slide,6,8,5,75000
Zoroark (Hisuian),82.5,571,normal,ghost,,,,,21,,Shadow Claw,Shadow Ball,Foul Play,7,5,5,75000
Whiscash (Shadow),82.4,340,water,ground,,,,,27,,Mud Shot,Mud Bomb,Scald,5,6,1,10000
Trumbeak,81.9,732,normal,flying,,,,,48.5,,Peck,Drill Peck,Rock Blast,5,5,1,10000
Porygon2,81.8,233,normal,none,,,,,20.5,,Lock On,Tri Attack,Zap Cannon,10,16,3,50000
Whiscash,81.7,340,water,ground,,,,,27,,Mud Shot,Mud Bomb,Scald,5,6,1,10000
Xatu,81.3,178,psychic,flying,,,,,25.5,,Peck,Psyshock,Aerial Ace,5,6,3,50000
Delphox,81,655,fire,psychic,,,,,18,,Fire Spin,Psyshock,Blast Burn,4,5,3,10000
Quaquaval,80.6,914,water,fighting,,,,,18,,Low Kick,Close Combat,Hydro Cannon,6,5,3,10000
Frillish,80.6,592,water,ghost,,,,,50,,Hex,Night Shade,Ice Beam,4,5,3,50000
Stoutland,80.5,508,normal,none,,,,,19.5,,Sand Attack,Wild Charge,Crunch,12,12,1,10000
Prinplup,80.5,394,water,none,,,,,36.5,,Bubble,Icy Wind,Hydro Pump,5,7,3,10000
Wailord (Shadow),80.5,321,water,none,,,,,24.5,,Rollout,Surf,Hyper Beam,4,7,1,10000
Kabuto,80.2,140,rock,water,,,,,49,,Mud Shot,Aqua Jet,Rock Tomb,5,6,5,75000
Kabuto (Shadow),80.2,140,rock,water,,,,,49,,Mud Shot,Aqua Jet,Rock Tomb,5,6,5,75000
Relicanth,80.2,369,water,rock,,,,,22.5,,Water Gun,Aqua Tail,Ancient Power,12,15,5,75000
Bibarel (Shadow),80.1,400,normal,water,,,,,31.5,,Rollout,Surf,Hyper Fang,4,4,1,10000
Bouffalant,80.1,626,normal,none,,,,,20,,Mud Shot,Stomp,Megahorn,5,7,3,50000
Floatzel,79.5,419,water,none,,,,,22.5,,Waterfall,Aqua Jet,Swift,4,4,3,50000
Omastar (Shadow),79.3,139,rock,water,,,,,20,,Mud Shot,Rock Slide,Hydro Pump,5,9,5,75000
Vaporeon,79.2,134,water,none,,,,,18,,Water Gun,Aqua Tail,Last Resort,12,19,5,75000
Snorlax,79.2,143,normal,none,,,,,17.5,,Lick,Body Slam,Superpower,12,14,5,75000
Granbull (Shadow),79,210,fairy,none,,,,,22,,Snarl,Close Combat,Crunch,4,4,3,50000
Teddiursa (Shadow),79,216,normal,none,,,,,49.5,,Lick,Swift,Cross Chop,12,12,3,50000
