Pokemon,Score,Dex,Type 1,Type 2,Attack,Defense,Stamina,Stat Product,Level,CP,Fast Move,Charged Move 1,Charged Move 2,Charged Move 1 Count,Charged Move 2 Count,Buddy Distance,Charged Move Cost
Tropius,100,357,grass,flying,101.4,128.0,170,2206464,29,1495,Air Slash,Brutal Swing,Leaf Blade,4,4,5,75000
Weezing,100,110,poison,none,117.5,140.2,116,1910926,25,1498,Rollout,Shadow Ball,Sludge Bomb,4,4,3,50000
Golisopod,100,768,bug,water,124.0,134.6,108,1802563,17.5,1495,Shadow Claw,X-Scissor,Aqua Jet,5,5,1,10000
Misdreavus,100,200,ghost,none,123.0,120.8,122,1812725,29,1493,Astonish,Shadow Sneak,Dark Pulse,5,5,3,50000
Mismagius,100,429,ghost,none,131.6,123.6,104,1691639,21,1492,Hex,Shadow Ball,Dark Pulse,4,4,3,50000
Sceptile,100,254,grass,none,135.6,109.3,111,1645140,20,1493,Fury Cutter,Leaf Blade,Aerial Ace,9,12,3,10000
Polteageist,100,855,ghost,none,142.8,115.6,95,1568230,18,1496,Hex,Shadow Ball,Dark Pulse,4,4,3,50000
Mr. Mime (Galarian),100,122,ice,psychic,130.4,127.0,104,1722323,27,1498,Confusion,Ice Punch,Triple Axel,3,4,5,75000
Yanma,100,193,bug,flying,130.8,89.6,146,1711073,46.5,1496,Wing Attack,Aerial Ace,Silver Wind,6,6,3,50000
Mr. Rime,100,866,ice,psychic,127.4,114.4,120,1748947,19.5,1492,Confusion,Ice Punch,Triple Axel,3,4,5,75000
Meowstic (Male),100,678,psychic,none,117.1,123.9,132,1915147,26,1497,Sucker Punch,Psychic,Thunderbolt,8,8,3,50000
Heliolisk,100,695,electric,normal,138.1,112.1,105,1625506,21.5,1498,Volt Switch,Parabolic Charge,Grass Knot,4,4,3,50000
Toxicroak,100,454,poison,fighting,136.2,93.7,129,1646290,22.5,1497,Poison Sting,Shadow Ball,Sludge Bomb,6,6,3,50000
Serperior,100,497,grass,none,110.2,142.2,130,2037157,25,1498,Vine Whip,Frenzy Plant,Aerial Ace,6,6,3,10000
Grovyle,100,253,grass,none,136.3,103.2,117,1645741,36.5,1497,Quick Attack,Leaf Blade,Aerial Ace,5,6,3,10000
Elekid,100,239,electric,none,126.0,97.4,120,1472688,50,1362,Thunder Shock,Thunder Punch,Brick Break,5,5,5,10000
Pawmot,100,923,electric,fighting,145.0,95.4,112,1549296,21,1498,Thunder Shock,Wild Charge,Close Combat,5,5,3,75000
Weepinbell,100,70,grass,poison,137.9,84.8,139,1625455,40.5,1497,Acid,Sludge Bomb,Power Whip,7,7,3,50000
Zebstrika,100,523,electric,none,137.7,95.4,124,1628936,23,1497,Spark,Wild Charge,Flame Charge,7,8,3,50000
Skorupi,100,451,poison,bug,90.7,139.4,113,1428725,50,1138,Poison Sting,Cross Poison,Aqua Tail,4,4,5,75000
Ivysaur,100,2,grass,poison,118.7,121.0,131,1881514,37.5,1494,Vine Whip,Sludge Bomb,Power Whip,7,7,3,10000
Hattrem,100,857,psychic,none,122.7,115.7,128,1817138,38.5,1493,Confusion,Dazzling Gleam,Psychic,4,4,5,50000
