Pokemon,Score,Dex,Type 1,Type 2,Attack,Defense,Stamina,Stat Product,Level,CP,Fast Move,Charged Move 1,Charged Move 2,Charged Move 1 Count,Charged Move 2 Count,Buddy Distance,Charged Move Cost
Corviknight,100,823,flying,steel,,,,,23,,Sand Attack,Air Cutter,Payback,9,15,1,10000
Sableye (Shadow),98.1,302,dark,ghost,,,,,47,,Shadow Claw,Foul Play,Drain Punch,5,5,5,75000
Araquanid (Shadow),97.9,752,water,bug,,,,,32,,Bug Bite,Bubble Beam,Water Pulse,14,17,3,50000
Primeape,97.9,57,fighting,none,,,,,24,,Karate Chop,Rage Fist,Close Combat,4,5,3,50000
Sliggoo,97.9,705,dragon,none,,,,,27.5,,Dragon Breath,Body Slam,Dragon Pulse,9,14,5,75000
Tinkaton,97.8,959,fairy,steel,,,,,25,,Fairy Wind,Gigaton Hammer,Bulldoze,7,5,3,75000
Hydreigon (Shadow),97.6,635,dark,dragon,,,,,15,,Dragon Breath,Brutal Swing,Fly,9,12,5,75000
Araquanid,97.3,752,water,bug,,,,,32,,Bug Bite,Water Pulse,Bubble Beam,17,14,3,50000
Kingdra (Shadow),97.3,230,water,dragon,,,,,21,,Dragon Breath,Surf,Swift,12,9,3,50000
Corsola (Galarian),96.4,222,ghost,none,,,,,47.5,,Astonish,Night Shade,Power Gem,5,5,3,50000
Regidrago,96.4,895,dragon,none,,,,,20,,Dragon Breath,Dragon Energy,Vise Grip,12,10,20,100000
Clodsire,95.9,980,poison,ground,,,,,29.5,,Poison Sting,Earthquake,Stone Edge,8,7,3,50000
Dragonair (Shadow),95.8,148,dragon,none,,,,,33,,Dragon Breath,Wrap,Aqua Tail,12,9,5,75000
Kingdra,95.4,230,water,dragon,,,,,21,,Dragon Breath,Surf,Swift,12,9,3,50000
Pangoro,95.4,675,fighting,dark,,,,,19,,Karate Chop,Close Combat,Night Slash,5,4,3,50000
Goodra,95.1,706,dragon,none,,,,,16,,Dragon Breath,Aqua Tail,Thunder Punch,9,10,5,75000
Morpeko (Hangry),95.1,877,electric,dark,,,,,28.5,,Thunder Shock,Aura Wheel,Psychic Fangs,5,4,3,50000
Pelipper,95.1,279,water,flying,,,,,26,,Wing Attack,Weather Ball (Water),Hurricane,5,8,3,50000
Sealeo (Shadow),95.1,364,ice,water,,,,,36,,Powder Snow,Surf,Body Slam,6,5,3,50000
Zweilous,95.1,634,dark,dragon,,,,,30.5,,Dragon Breath,Body Slam,Dark Pulse,9,13,5,75000
Malamar,94.9,687,dark,psychic,,,,,23.5,,Psywave,Superpower,Foul Play,10,10,3,50000
