Pokemon,Score,Dex,Type 1,Type 2,Attack,Defense,Stamina,Stat Product,Level,CP,Fast Move,Charged Move 1,Charged Move 2,Charged Move 1 Count,Charged Move 2 Count,Buddy Distance,Charged Move Cost
Seaking,100,119,water,none,121.9,109,138,1833820,26,1500,Peck,Drill Run*,Icy Wind*,6,6,3,50000
Cofagrigus,100,563,ghost,none,111.7,165.3,109,2013466,24.5,1500,Shadow Claw,Shadow Ball,Dark Pulse,7,7,3,50000
Dewgong,100,87,water,ice,102,136.9,157,2192411,28.5,1498,Ice Shard*,Icy Wind*,Drill Run,5,5,3,50000
Weezing,100,110,poison,none,117.6,140.3,116,1912745,25,1500,Rollout,Shadow Ball,Sludge Bomb,4,4,3,50000
Golisopod,100,768,bug,water,124.1,134.7,108,1804489,17.5,1499,Shadow Claw,X-Scissor,Aqua Jet,5,5,1,10000
Runerigus,100,867,ground,ghost,111.7,165.3,109,2013466,24.5,1500,Shadow Claw,Rock Tomb,Shadow Ball,7,7,3,50000
Weezing (Shadow),100,110,poison,none,117.7,139.5,116,1904809,24.5,1499,Rollout,Shadow Ball,Sludge Bomb,4,4,3,50000
Cofagrigus (Shadow),100,563,ghost,none,111.7,165.3,109,2013466,24.5,1500,Shadow Claw,Shadow Ball,Dark Pulse,7,7,3,50000
Gholdengo,100,1000,steel,ghost,134.6,107.8,114,1654913,15.5,1493,Astonish,Shadow Ball,Power Gem,5,5,5,10000
Jumpluff,100,189,grass,flying,96.7,157,153,2322994,40.5,1499,Fairy Wind,Acrobatics*,Energy Ball,7,7,3,50000
Tropius,100,357,grass,flying,101.4,128.1,170,2208146,29,1498,Air Slash,Leaf Blade,Brutal Swing,4,4,5,75000
Poliwrath,100,62,water,fighting,115.8,122,137,1936317,21.5,1500,Mud Shot,Icy Wind,Dynamic Punch,5,5,3,50000
Ledian,100,166,bug,flying,101.4,162.5,134,2207885,49.5,1496,Bug Bite,Aerial Ace,Dynamic Punch,15,15,1,10000
Mismagius,100,429,ghost,none,131.6,123.7,104,1692580,21,1493,Hex,Shadow Ball,Dark Pulse,4,4,3,50000
Swampert,100,260,water,ground,123,109.2,136,1825538,18.5,1499,Mud Shot,Hydro Cannon*,Sludge,5,5,3,10000
Swampert (Shadow),100,260,water,ground,123,109.2,136,1825538,18.5,1499,Mud Shot,Hydro Cannon*,Sludge,5,5,3,10000
Ledian (Shadow),100,166,bug,flying,101.4,162.5,134,2207885,49.5,1496,Bug Bite,Aerial Ace,Dynamic Punch,15,15,1,10000
Misdreavus,100,200,ghost,none,123,120.9,122,1813865,29,1495,Astonish,Shadow Sneak,Dark Pulse,5,5,3,50000
Heracross,100,214,bug,fighting,134.7,108.4,114,1664501,17.5,1500,Fury Cutter,Close Combat,Rock Tomb,12,13,3,50000
Honedge,100,679,steel,ghost,122.1,127.1,118,1831842,47,1495,Fury Cutter,Gyro Ball,Iron Head,13,13,5,75000
Sceptile (Shadow),100,254,grass,none,135.6,109.3,111,1645623,20,1498,Fury Cutter,Leaf Blade,Aerial Ace,9,12,3,10000
Misdreavus (Shadow),100,200,ghost,none,123,120.9,122,1813865,29,1495,Astonish,Shadow Sneak,Dark Pulse,5,5,3,50000
Golett (Shadow),100,622,ground,ghost,119.3,89.9,141,1512725,50,1344,Astonish,Shadow Punch,Brick Break,4,4,5,75000
Sneasler,100,903,fighting,poison,145.4,94.7,112,1542861,17,1500,Shadow Claw,Close Combat,Aerial Ace,6,6,5,75000
Sneasler (Shadow),100,903,fighting,poison,145.4,94.7,112,1542861,17,1500,Shadow Claw,Close Combat,Aerial Ace,6,6,5,75000
Sceptile,100,254,grass,none,135.6,109.3,111,1645623,20,1498,Fury Cutter,Leaf Blade,Aerial Ace,9,12,3,10000
Mismagius (Shadow),100,429,ghost,none,131.6,123.7,104,1692580,21,1493,Hex,Shadow Ball,Dark Pulse,4,4,3,50000
Polteageist,100,855,ghost,none,142.8,115.6,95,1568716,18,1498,Hex,Shadow Ball,Dark Pulse,4,4,3,50000
Serperior,100,497,grass,none,110.2,142.3,130,2038328,25,1500,Vine Whip,Frenzy Plant*,Aerial Ace,6,6,3,10000
