Pokemon,Score,Dex,Type 1,Type 2,Attack,Defense,Stamina,Stat Product,Level,CP,Fast Move,Charged Move 1,Charged Move 2,Charged Move 1 Count,Charged Move 2 Count,Buddy Distance,Charged Move Cost
Hypno,98,97,psychic,none,103.4,142.9,147,2172051,27,1498,Confusion,Shadow Ball,Psyshock,4,3,3,50000
Emolga,95.9,587,electric,flying,127.5,110.2,125,1756312,39.5,1496,Thunder Shock,Acrobatics,Discharge,7,5,1,10000
Dartrix,95.4,723,grass,flying,112.4,115.5,154,1999259,36.5,1499,Peck,Brave Bird,Seed Bomb,7,5,3,10000
Trevenant,93.5,709,ghost,grass,127.8,104.6,131,1751192,22,1496,Shadow Claw,Shadow Ball,Foul Play,7,5,5,75000
Gengar,93.3,94,ghost,poison,154.3,95.4,98,1442582,19,1491,Shadow Claw,Shadow Punch,Shadow Ball,5,7,3,50000
Haunter,92.9,93,ghost,poison,161.1,85.5,101,1391179,28,1497,Shadow Claw,Shadow Punch,Ice Punch,5,5,3,50000
Grumpig,92.4,326,psychic,none,113.3,131.4,132,1965166,23.5,1492,Psywave,Shadow Ball,Dynamic Punch,13,12,1,10000
Kricketune,91.9,402,bug,none,127.7,89.5,153,1748660,38,1494,Fury Cutter,X-Scissor,Aerial Ace,10,12,1,10000
Orbeetle,91.8,826,bug,psychic,107.9,168.6,114,2073881,25.5,1495,Psycho Cut,Psyshock,Bug Buzz,5,7,1,10000
Eelektrik,91.7,603,electric,none,122.3,110.0,136,1829608,35.5,1495,Acid,Crunch,Discharge,6,5,1,10000
Girafarig,91.6,203,normal,psychic,130.3,101.5,130,1719308,27.5,1496,Confusion,Psychic Fangs,Trailblaze,3,4,3,50000
Delphox,91.5,655,fire,psychic,132.6,115.6,110,1686142,18,1495,Fire Spin,Psyshock,Blast Burn,4,5,3,10000
Scyther,91.5,123,bug,flying,134.8,109.4,113,1666425,20.5,1498,Fury Cutter,X-Scissor,Night Slash,10,9,5,75000
Tropius,90.9,357,grass,flying,101.4,128.0,170,2206464,29,1495,Air Slash,Brutal Swing,Leaf Blade,4,4,5,75000
Electrode,90.6,101,electric,none,122.8,126.3,118,1830138,27,1499,Volt Switch,Foul Play,Hyper Beam,3,5,3,50000
Ampharos,89.9,181,electric,none,126.8,107.9,129,1764942,19.5,1495,Volt Switch,Brutal Swing,Power Gem,3,4,5,75000
Galvantula,89.8,596,bug,electric,138.2,96.4,122,1625343,25.5,1498,Fury Cutter,Cross Poison,Lunge,9,12,3,50000
Ludicolo,89.6,272,water,grass,116.4,123.6,134,1927863,24,1498,Astonish,Weather Ball (Water),Ice Beam,4,6,3,50000
