Pokemon,Score,Dex,Type 1,Type 2,Attack,Defense,Stamina,Stat Product,Level,CP,Fast Move,Charged Move 1,Charged Move 2,Charged Move 1 Count,Charged Move 2 Count,Buddy Distance,Charged Move Cost
Aegislash (Blade),100,681,steel,ghost,,,,,46,,Psycho Cut,Shadow Ball,Gyro Ball,9,9,5,75000
Clodsire,92.5,980,poison,ground,,,,,29.5,,Poison Sting,Earthquake,Stone Edge,8,7,3,50000
Registeel,91.7,379,steel,none,,,,,22.5,,Lock On,Flash Cannon,Focus Blast,13,15,20,100000
Tinkaton,90.3,959,fairy,steel,,,,,25,,Fairy Wind,Gigaton Hammer,Bulldoze,7,5,3,75000
Carbink,89.3,703,rock,fairy,,,,,50,,Rock Throw,Rock Slide,Moonblast,9,12,5,75000
Electivire (Shadow),88.3,466,electric,none,,,,,18,,Thunder Shock,Ice Punch,Wild Charge,5,5,5,75000
Moltres (Galarian),87.7,146,dark,flying,,,,,17.5,,Sucker Punch,Fly,Brave Bird,7,8,20,100000
Azumarill,87.4,184,water,fairy,,,,,43,,Bubble,Ice Beam,Play Rough,5,6,3,50000
Clefable,87.2,36,fairy,none,,,,,23,,Fairy Wind,Moonblast,Meteor Mash,7,5,1,10000
Lanturn,87.1,171,water,electric,,,,,27,,Water Gun,Surf,Thunderbolt,15,19,3,50000
Corsola (Galarian),86.9,222,ghost,none,,,,,47.5,,Astonish,Night Shade,Power Gem,5,5,3,50000
Registeel (Shadow),86.9,379,steel,none,,,,,23,,Lock On,Flash Cannon,Focus Blast,13,15,20,100000
Lapras,86.8,131,water,ice,,,,,21.5,,Psywave,Sparkling Aria,Ice Beam,12,14,5,75000
Malamar,86.6,687,dark,psychic,,,,,23.5,,Psywave,Superpower,Foul Play,10,10,3,50000
Stunfisk (Galarian),86.6,618,ground,steel,,,,,26,,Mud Shot,Rock Slide,Earthquake,5,8,5,75000
Blacephalon,86.3,806,fire,ghost,,,,,16.5,,Incinerate,Mind Blown,Shadow Ball,2,3,20,100000
Empoleon,86.3,395,water,steel,,,,,19,,Metal Sound,Hydro Cannon,Drill Peck,5,5,3,10000
Empoleon (Shadow),86.3,395,water,steel,,,,,19,,Metal Sound,Hydro Cannon,Drill Peck,5,5,3,10000
Raikou (Shadow),86.1,243,electric,none,,,,,15.5,,Thunder Shock,Wild Charge,Aura Sphere,5,5,20,100000
Jellicent,86,593,water,ghost,,,,,24,,Hex,Surf,Shadow Ball,4,4,3,50000
Jumpluff,86,189,grass,flying,,,,,40.5,,Fairy Wind,Energy Ball,Acrobatics,5,7,3,50000
Medicham,86,308,fighting,psychic,,,,,49,,Psycho Cut,Ice Punch,Dynamic Punch,5,5,3,50000
Murkrow (Shadow),86,198,dark,flying,,,,,41,,Peck,Drill Peck,Foul Play,5,5,3,50000
Pidgeot,86,18,normal,flying,,,,,26.5,,Wing Attack,Twister,Brave Bird,5,7,1,10000
Raikou,86,243,electric,none,,,,,16,,Thunder Shock,Wild Charge,Aura Sphere,5,5,20,100000
Corviknight,85.8,823,flying,steel,,,,,23,,Sand Attack,Air Cutter,Payback,9,15,1,10000
Jumpluff (Shadow),85.8,189,grass,flying,,,,,40.5,,Fairy Wind,Energy Ball,Acrobatics,5,7,3,50000
Mandibuzz,85.8,630,dark,flying,,,,,26.5,,Snarl,Foul Play,Shadow Ball,4,4,5,75000
Toxicroak (Shadow),85.8,454,poison,fighting,,,,,22.5,,Poison Sting,Dynamic Punch,Shadow Ball,5,6,3,50000
Blaziken (Shadow),85.6,257,fire,fighting,,,,,19.5,,Ember,Aura Sphere,Blast Burn,5,6,3,10000
Grumpig,85.6,326,psychic,none,,,,,23.5,,Psywave,Dynamic Punch,Shadow Ball,12,13,1,10000
Dartrix,85,723,grass,flying,,,,,36.5,,Peck,Brave Bird,Energy Ball,7,6,3,10000
Regidrago,85,895,dragon,none,,,,,20,,Dragon Breath,Dragon Energy,Vise Grip,12,10,20,100000
Altaria (Shadow),84.8,334,dragon,flying,,,,,28.5,,Dragon Breath,Sky Attack,Flamethrower,13,14,1,10000
