species,points
Aggron (Mega),4
Blastoise (Mega),3
Blaziken (Mega),3
Charizard (Mega X),1
Charizard (Mega Y),4
Dialga (Origin),3
Dialga (Shadow),2
Dialga,2
Eternatus,5
Florges,2
Gallade (Mega),4
Garchomp (Shadow),1
Garchomp,1
Gardevoir (Mega),4
Gengar (Mega),3
Giratina (Altered) (Shadow),1
Giratina (Altered),1
Giratina (Origin),2
Groudon (Shadow),3
Groudon,3
Gyarados (Shadow),1
Gyarados,1
Heatran (Shadow),1
Heatran,1
Ho-Oh (Shadow),2
Ho-Oh,2
Kangaskhan (Mega),1
Keldeo (Ordinary),2
Keldeo (Resolute),2
Kyogre (Shadow),3
Kyogre,3
Kyurem (Black),4
Kyurem (White),4
Kyurem,1
Landorus (Therian),3
Lucario (Mega),3
Lugia (Shadow),2
Lugia,2
Lunala,3
Marshadow,3
Melmetal,1
Meloetta (Aria),3
Metagross (Shadow),3
Metagross,3
Mewtwo (Shadow),2
Mewtwo,2
Moltres (Galarian),1
Moltres (Shadow),1
Moltres,1
Necrozma (Dawn Wings),2
Necrozma (Dusk Mane),2
Palkia (Origin),5
Palkia (Shadow),2
Palkia,2
Primarina,2
Reshiram,2
Rhyperior (Shadow),2
Rhyperior,2
Scizor (Mega),4
Slowbro (Mega),1
Solgaleo,2
Steelix (Mega),3
Swampert (Mega),5
Tapu Lele,1
Togekiss,0
Tyranitar (Shadow),2
Tyranitar,2
Urshifu (Rapid Strike),1
Urshifu (Single Strike),1
Volcanion,1
Xerneas,3
Yveltal,3
Zacian (Crowned Sword),5
Zacian (Hero),1
Zamazenta (Crowned Shield),5
Zarude,1
Zekrom,2
Zygarde (Complete Forme),4
